,Oid,Id,Sentence,Flag,labels
0,1,63320_200711_1,Welcome to my home state of Queensland.,1.0,1
1,2,63320_200711_2,Welcome to my home town of Brisbane.,1.0,1
2,3,63320_200711_3,And welcome to my local community here on Brisbane's southside.,1.0,1
3,4,63320_200711_4,It is great to be among people who are passionate about our country's future.,1.0,1
4,5,63320_200711_5,"On November 24, Australians will face a stark choice: a choice between the future and the past.",1.0,1
5,6,63320_200711_6,"Today the case I put before the Australian people is that if we are to secure the future for our families, for our communities and for our nation - the government of Australia must now change.",,6
6,7,63320_200711_7,"After 11 years, Mr Howard has lost touch with working families.",1.0,1
7,8,63320_200711_8,He has become so used to being in office that he no longer understands what fairness actually means.,1.0,1
8,9,63320_200711_9,After 11 years Mr Howard has become stuck in the past.,1.0,1
9,10,63320_200711_10,He simply doesn't understand the new challenges that we face in the future.,1.0,1
10,11,63320_200711_11,The challenges of climate change and water.,1.0,1
11,12,63320_200711_12,The challenges of the digital economy.,1.0,1
12,13,63320_200711_13,The challenge of the rise of China and India.,1.0,1
13,14,63320_200711_14,"The challenge to fix our hospitals, once and for all.",1.0,1
14,15,63320_200711_15,"And above all, the challenge to transform our education system.",1.0,1
15,16,63320_200711_16,Mr Howard has no plans for the future because he's not going to be there to deal with the challenges of the future.,1.0,1
16,17,63320_200711_17,It's official — Mr Howard's retiring.,1.0,1
17,18,63320_200711_18,And we all know that Mr Howard's chosen replacement Mr Costello wants to take WorkChoices even further.,1.0,1
18,19,63320_200711_19,The way forward for Australia is to elect a new Prime Minister and a new government with fresh ideas to meet the challenges of the future.,,1
19,20,63320_200711_20,A new Prime Minister and a new government who understand and respect the values upon which our nation has been built.,,2
20,21,63320_200711_21,Values of decency.,,1
21,22,63320_200711_22,Values of fairness.,,1
22,23,63320_200711_23,Values of respect.,,1
23,24,63320_200711_24,A new Prime Minister and a new government who believe that the great Australian value of a fair go for all has a future — and not just a past.,,1
24,25,63320_200711_25,"Friends, Australians are a decent people.",1.0,1
25,26,63320_200711_26,We don't ask for a whole lot.,,1
26,27,63320_200711_27,"We want to have incentive to go out there and innovate, to build new businesses, to build our families and to build our lives.",,2
27,28,63320_200711_28,"We're competitive, hard working and independent.",1.0,1
28,29,63320_200711_29,But also want a workplace where everybody gets a fair go — not just so me.,,1
29,30,63320_200711_30,Australians are a decent people — but Mr Howard's WorkChoices laws are not decent laws.,1.0,1
30,31,63320_200711_31,Mr Howard claims he was upfront with the Australian people before the last election about how he would change our workplace laws if he won.,1.0,1
31,32,63320_200711_32,Mr Howard is just not being fair dinkum.,1.0,1
32,33,63320_200711_33,"· When did Mr Howard tell working families they would be put on AWAs or lose basic rights to penalty rates, overtime, shift allowances and redundancy pay without any right to compensation?",1.0,1
33,34,63320_200711_34,. He never did.,1.0,1
