,Oid,Id,sentence,Flag,labels
0,0,63320_201607_0,"Investing in our schools and TAFEs: opportunity, equity and innovation",1,1
1,1,63320_201607_1,Labor wants your child to be given the same chance to succeed at school as any other child in the country.,0,3
2,2,63320_201607_2,So our policy is school funding should go where it is most needed — to ensure the best education outcome for all Australian kids.,0,3
3,3,63320_201607_3,POSITIVE POLICY.,1,1
4,4,63320_201607_4,Your Child. Our Future. Full Gonski And More. Needs Based School Funding.,1,1
5,5,63320_201607_5,"Improving education is the key to opportunity, to innovation and to the future economic and social prosperity of our nation.",1,1
6,6,63320_201607_6,"No matter what their background, no matter where they live - city, suburb or in the regions – no matter what type of school they go to – Government, Catholic or Independent, Labor wants every child to have the same chance of succeeding at school, and in life, as any other child in the country.",0,3
7,7,63320_201607_7,"Additional school funding is an investment, and we want to see the best possible return for every student, and as a country.",0,3
8,8,63320_201607_8,Labor is putting education at the centre of our positive program for government.,0,1
9,9,63320_201607_9,"For the Prime Minister to talk about innovation while he is cutting funding to schools, TAFE and universities is just that – nothing but talk.",1,1
10,10,63320_201607_10,Labor’s education plan will drive innovation and opportunity by improving education outcomes for all Australian students.,0,3
11,11,63320_201607_11,Your Child.,1,1
12,12,63320_201607_12,Our Future will put needs-based funding permanently at the heart of our school system – so every student in every school will get the support they need to achieve their best.,0,3
13,13,63320_201607_13,Labor’s plan will deliver: More one-on-one support and attention for every student,0,3
14,14,63320_201607_14,"Early intervention programs in every school, so that students don’t fall behind",0,5
15,15,63320_201607_15,Remedial literacy and numeracy support in every school,0,5
16,16,63320_201607_16,Extension classes to challenge students that are excelling in class,0,5
17,17,63320_201607_17,"Increased Year 12 completion through more alternative and vocational pathways, so all students leave school with the skills they need for jobs in the modern economy",0,5
18,18,63320_201607_18,Access to specialist allied health support – like speech and occupational therapists,0,5
19,19,63320_201607_19,"A focus on evidence based teaching and learning to make sure our schools do more of what works, and less of what doesn’t",0,5
20,20,63320_201607_20,More subject choices,0,5
21,21,63320_201607_21,More extra-curricular activities,0,5
22,22,63320_201607_22,"The choice is simple: Labor believes in investing in every Australian student to give them the opportunity to reach their potential, the Liberals will just continue with a broken and unfair system that leaves most Australian kids unprepared for the future.",0,2
23,23,63320_201607_23,"Where they are being properly delivered, needs-based school reforms are already making a big difference in our classrooms – improving results and changing lives.",1,1
24,24,63320_201607_24,They are simply too important to abandon.,1,1
25,25,63320_201607_25,"To deliver an education system that provides students with the skills they need for the jobs of the future, Labor will implement the Gonski agreements on time and in full and reverse Malcolm Turnbull’s cuts.",0,7
26,26,63320_201607_26,POSITIVE POLICY,1,1
27,27,63320_201607_27,Your Child. Our Future: Support for Students with Disability,1,1
28,28,63320_201607_28,Better Support For Students With Disability and Additional Learning Needs,0,3
29,29,63320_201607_29,All students – including students with disability – deserve a great education.,0,2
30,30,63320_201607_30,"When students with disability do not have the right support, it not only impacts their learning, but can make it difficult for teachers to meet the needs of the class as a whole.",1,1
31,31,63320_201607_31,"A Shorten Labor Government will deliver better support for students with disability, so they can reach their potential and succeed at school.",0,3
32,32,63320_201607_32,"The Your Child. Our Future plan will provide $570 million in additional support for students with disability and additional learning needs by 2019, compared to the Liberals.",0,7
33,33,63320_201607_33,"This will make a real difference, and will mean more allied health support – such as speech pathologists or occupational therapists, more individual attention, and more early intervention.",0,5
34,34,63320_201607_34,Autism Hubs and Dyslexia-Friendly Schools,1,1
35,35,63320_201607_35,"Labor’s plan will build the capacity of schools to meet individual student needs, including through establishing Autism Hubs in each State and Territory.",0,6
36,36,63320_201607_36,"Autism Hubs will provide advice on the most effective and inclusive ways to help students with autism, deliver professional development and in-class coaching for teachers, as well as link parents and families to health and specialist services in the community.",0,5
37,37,63320_201607_37,"A network of Dyslexia Friendly Schools will be created across Australia, with participating schools certified for their capacity to deliver best-practice programs in inclusive education.",0,5
38,38,63320_201607_38,Tackling bullying,0,1
39,39,63320_201607_39,No-one deserves to be bullied and to miss out on educational opportunities because they are different.,0,2
40,40,63320_201607_40,Students with disability are up to three times more likely to be bullied than their peers.,0,1
41,41,63320_201607_41,"Labor will establish a national approach to reducing the bullying of students with disability, and will make sure every school has anti-bullying strategies in place that protect students with disability.",0,6
42,42,63320_201607_42,School upgrades and learning technology,1,1
43,43,63320_201607_43,"Labor’s plan will ensure more students with disability will get the chance to participate fully in learning and school activities, by supporting school communities so they can purchase assistive technology and improve school buildings.",0,5
44,44,63320_201607_44,"Labor will invest $30 million so that from 2017: At least 3,000 grants of up to $5,000 will be available for schools to invest in equipment and technology to support learning for students with disability.",0,7
45,45,63320_201607_45,"At least 500 grants of up to $30,000 will be available for minor capital works so students can access school facilities and be properly included in school activities.",0,7
46,46,63320_201607_46,Boosting teacher skills and the curriculum,1,1
