,Oid,Id,Sentence,Flag,labels
0,1,63320_20011_1,Men and women of Australia: Today I offer myself as Prime Minister of this great country.,1,1
1,2,63320_20011_2,"I want the job -- I'm committed, I'm qualified, and I'm here for the long haul.",1,1
2,3,63320_20011_3,"I have a plan to deliver a fair share, and a secure future, for all Australians.",0,2
3,4,63320_20011_4,"I stand for the best possible education for all, not just the rich.",0,1
4,5,63320_20011_5,I stand for a health system where your Medicare Card is more important than your credit card.,0,1
5,6,63320_20011_6,I will put the care back into aged care.,0,3
6,7,63320_20011_7,"I stand for making the GST simpler and fairer, for relieving the burden on small business, and on families.",0,3
7,8,63320_20011_8,"I want to ensure Telstra remains in the hands of the majority shareholders – the Australian people, so Telstra can continue its essential nation-building role.",0,7
8,9,63320_20011_9,"And I want to get this country working again with quality jobs for all our people, whether they live in the city or the regions.",0,3
9,10,63320_20011_10,"While I have a plan for the future, my political opponent only has a plan for retirement.",0,1
10,11,63320_20011_11,John Howard says this election is about leadership – but he won't commit to a full term.,1,1
11,12,63320_20011_12,"He will stand, but he won't deliver.",1,1
12,13,63320_20011_13,He'll stand but he won't stay.,1,1
13,14,63320_20011_14,Time and again in this campaign John Howard has been asked to commit to a full term.,1,1
14,15,63320_20011_15,Time and again he has refused.,1,1
15,16,63320_20011_16,Let's get it straight.,1,1
16,17,63320_20011_17,"If John Howard wins this election, Peter Costello will be Prime Minister at the next.",1,1
17,18,63320_20011_18,And let's get another thing straight.,1,1
18,19,63320_20011_19,My pledge is to be around for as long as it takes to bring in Labor's plan for the future of this nation.,0,3
19,20,63320_20011_20,I will go the distance.,0,1
20,21,63320_20011_21,"We in the Australian Labor Party have always planned for the future, by drawing on the lessons of the past.",1,1
21,22,63320_20011_22,"In Parliament more than 50 years ago Ben Chifley said this: 'I believe that the best incentive that can be given to workers is a sense of security - security of employment and security against sickness, unemployment, and the disabilities of old age.'.",0,1
22,23,63320_20011_23,"Those Labor values of Ben Chifley are values I share, values we all share, priorities we all share --- Jobs, Health and Education.",0,1
23,24,63320_20011_24,"Jobs, health and education -- and a secure future for this country and for all those who live here.",0,3
24,25,63320_20011_25,My fellow Australians.,1,1
25,26,63320_20011_26,Our pledge for a secure future for this country means security both at home and abroad.,0,3
26,27,63320_20011_27,"The terrorist attacks on the United States have struck horror into all of us, and changed our world.",1,1
27,28,63320_20011_28,"We believe this threat must be resisted, pursued, destroyed.",0,3
28,29,63320_20011_29,There is no difference between the parties on this.,1,1
