,OID,Id,Sentence,Flag,labels
0,2,63320_198010_2,The policies I am privileged to put to you tonight are proposals for all Australians.,,3
1,3,63320_198010_3,"They are policies we believe will begin the task of restoring equality of opportunity and national pride to our country, and dignity and fair play to all our people.",,3
2,4,63320_198010_4,"They are policies to bring Australians together, not drive them apart, policies that unite our country, policies that allow all Australians to share our national good fortune and to play their part in the development of our future.",,3
3,5,63320_198010_5,"And that, I suggest, is really the great issue before us in the elections on October 18th.",1.0,1
4,6,63320_198010_6,"The challenges that face Australia now, and in the years ahead, are challenges that face us all as a nation.",1.0,1
5,7,63320_198010_7,"To meet these challenges is not solely the responsibility of government, or big business, or the trade unions, or any other single group or institution in our community.",1.0,1
6,8,63320_198010_8,We all have a responsibility to each other and to our country.,,3
7,9,63320_198010_9,We all face these challenges together.,,2
8,10,63320_198010_10,"Australia's worst unemployment in half a century is not isolated to the great industrial complexes of NSW, or Victoria, or South Australia.",1.0,1
9,11,63320_198010_11,It extends into all States.,1.0,1
10,12,63320_198010_12,"The highest prices in our history are not confined to the supermarkets of Sydney, Melbourne and Brisbane, or the other great cities of our Commonwealth.",1.0,1
11,13,63320_198010_13,They must be paid by families in even the smallest country town.,1.0,1
12,14,63320_198010_14,"Record taxes and falling living standards are not a burden carried only by some people in some States, but by all people wherever they live, except for a small minority of high income earners.",1.0,1
13,15,63320_198010_15,"Economic hardship and social alienation are not found only among our pensioners, and our black Australians, and our tens of thousands of young people who can't get jobs.",1.0,1
14,16,63320_198010_16,They strike into the homes of more than two million of our fellow Australians who live in poverty.,1.0,1
15,17,63320_198010_17,All these destructive elements have gained momentum during the last five years.,1.0,1
16,18,63320_198010_18,All come together now to pose great challenges to which all of us as a nation must respond together.,,3
17,19,63320_198010_19,I don't pretend there are easy solutions.,1.0,1
18,20,63320_198010_20,There are not.,1.0,1
19,21,63320_198010_21,I don't suggest that a rash of election promises is all that's needed to meet these challenges.,1.0,1
20,22,63320_198010_22,They won't and the record of the Fraser Government proves that they won't.,1.0,1
21,23,63320_198010_23,"And I do not claim that a Hayden Labor Government can produce some magic formula overnight to correct all the mistakes, all the hardship, and all the disunity created since 1975.",1.0,1
22,24,63320_198010_24,We can't.,1.0,1
23,25,63320_198010_25,"What we do offer what we can promise is a more equal, a fairer, and a better Australian society than all of us have known in the last five years.",,2
24,26,63320_198010_26,Our country has tremendous potential.,1.0,1
25,27,63320_198010_27,Its development of our industries and our great mineral resources suggests there is nothing we can't achieve in the years ahead.,1.0,1
26,28,63320_198010_28,What we have to ensure is the economic security of Australian families just as much as the physical security of our nation under responsible national leadership administering fair and sensible national policies.,,3
27,29,63320_198010_29,"The important thing, the urgent thing, is to deal not only with our specific problems, but to restore a sense of unity, purpose and direction for the entire country.",,2
28,30,63320_198010_30,That is what we are doing tonight.,,2
29,31,63320_198010_31,"That is what our policies will do, and that is what a national Labor Government will do, after the 18th of October.",,6
30,32,63320_198010_32,I make no apology whatever for the fact that our basic economic strategy is a policy of six broad programs to reverse the decline in family living standards.,,5
31,33,63320_198010_33,"These programs concern taxes, housing, jobs, petrol and energy prices, family health care, and family allowances.",,3
32,34,63320_198010_34,All six areas have an appalling record over the last five years.,1.0,1
33,35,63320_198010_35,All have contributed to the stark reality that the average Australian family is today $16 a week worse off than in 1975.,1.0,1
34,36,63320_198010_36,Five years ago our standard of living was the 8th highest among western industrial countries.,1.0,1
35,37,63320_198010_37,Today it has slipped sharply down to 16th.,1.0,1
36,38,63320_198010_38,All Australians are entitled to ask why?,1.0,1
37,39,63320_198010_39,"Why has this happened in this wealthy and resourcerich country of ours, one of the wealthiest in the world.",1.0,1
38,40,63320_198010_40,Why this decline in our living standards?,1.0,1
39,41,63320_198010_41,In our quality of life?,1.0,1
40,42,63320_198010_42,In the opportunities and advantages for our people?,1.0,1
41,43,63320_198010_43,We intend to reverse the process.,,1
42,44,63320_198010_44,"By doing so, by increasing the real value of the average family income, we restore the security of the family unit in our society.",,5
43,45,63320_198010_45,"By improving our basic living standard, we encourage people to spend more to buy more goods and services.",,6
44,46,63320_198010_46,"This in turn creates more demand, more production, more jobs, and so the cycle continues as the economy regains confidence and starts moving again.",,2
45,47,63320_198010_47,What we propose is not only a policy to increase the value of the family pay packet.,,3
46,48,63320_198010_48,It is a broad economic strategy to lift the Australian economy out of the rut of the last five years and to bring down inflation.,,3
47,49,63320_198010_49,The most immediate and the most dramatic impact we can make in this process is some moderation in the taxes all families pay.,,3
48,50,63320_198010_50,Six weeks ago I outlined in Parliament three options we were considering in this area: (I) an acrosstheboard cut in income tax costing $300 million this financial year.,,7
49,51,63320_198010_51,(2) a general reduction in sales tax costing an equivalent amount.,,5
50,52,63320_198010_52,(3) a cut of three cents a litre in all petroleum products.,,5
51,53,63320_198010_53,"We'd all like to adopt all three proposals, but in the present economic climate this is neither possible nor responsible.",,6
52,54,63320_198010_54,"And unlike Mr Fraser in the last two elections, we will not make promises we cannot keep or which cannot be paid for.",,6
53,55,63320_198010_55,"Instead, we have decided to propose a general cut in income tax to nut an extra $3 a week into all pay packets from February 1 next year.",,7
54,56,63320_198010_56,This will be achieved by raising the tax free income level from the present $4041 a year to $4529.,,7
55,57,63320_198010_57,"It will free literally hundreds of thousands of low income earners from paying any income tax at all, including 200,000 pensioners, and give a uniform $3 a week tax cut to all other taxpayers.",,7
56,58,63320_198010_58,"Despite what our opponents say, this is a tax cut the country can afford.",1.0,1
57,59,63320_198010_59,"After all, the Fraser Government's latest Budget two months ago proposes to collect 32 thousand million dollars in all taxes this year.",1.0,1
58,60,63320_198010_60,That's almost double the tax burden of five years ago.,1.0,1
59,61,63320_198010_61,"Our proposal, costing $300 million, means a reduction of about one cent in every dollar paid in all taxes in the 12 months to the end of next June.",,7
60,62,63320_198010_62,So it cannot be described as anything else except a very modest tax cut.,,5
61,63,63320_198010_63,"We'd like to do more, but we can't and this is a start.",,2
62,64,63320_198010_64,"In the longer term, we'd propose a complete overhaul of the entire tax structure so as to introduce a much fairer system than the one now operating.",,3
63,65,63320_198010_65,"For the moment, however, we cannot responsibly go any further than the proposal I've just outlined.",,3
64,66,63320_198010_66,Our other programs in this package of family policies will compound the benefit of an immediate reduction in taxation.,,3
65,67,63320_198010_67,All of these programs have been carefully worked out and carefully costed.,,1
66,68,63320_198010_68,All of them have been announced progressively over the last 11 months.,,1
67,69,63320_198010_69,What we've sought to do is explain our policies in open public debate well before the elections.,1.0,1
68,70,63320_198010_70,In this way we've avoided our opponents' expedient alternative of a grab-bag of promises and scare tactics in the last weeks before polling day.,1.0,1
69,71,63320_198010_71,Housing is one such area of national need and national priority.,,1
70,72,63320_198010_72,The great Australian dream of owning your own home is now out of reach of most families.,1.0,1
