,oid,Id,Sentence,Flag,labels
0,1,63620_199303_1,I'll just give everybody a chance to find their seats .,1,1
1,2,63620_199303_2,"Thank you very much, thank you very much for that very warm welcome .",1,1
2,3,63620_199303_3,I sincerely appreciate the tremendous support that is evident in this room for me today .,1,1
3,4,63620_199303_4,But I have to say that this election is not about John Hewson and it's not about Paul Keating .,1,1
4,5,63620_199303_5,We are the servants of the people of Australia .,1,1
5,6,63620_199303_6,This election is about the people of Australia and their problems .,1,1
6,7,63620_199303_7,It's about people like Jennifer and Sam and Beverly and John and Michelle and millions who are like them all over Australia that have been totally unnecessary victims of a totally unnecessary recession .,1,1
7,8,63620_199303_8,"This election is not only about today's people, like Jennifer and Sam and Beverly, John and Michelle, but also tomorrow's people .",1,1
8,9,63620_199303_9,"Our children and our grandchildren, as has been encapsulated in the poster you see around the room with the picture of Samantha .",1,1
9,10,63620_199303_10,This election is much for Samantha as it is for any of us that are here today .,1,1
10,11,63620_199303_11,I'd like to say a very special thanks to Jennifer and Sam and Beverly and John and Michelle .,1,1
11,12,63620_199303_12,It takes real guts and real courage to come up here and share a deeply Personal experience .,1,1
12,13,63620_199303_13,They did not make a political statement .,1,1
13,14,63620_199303_14,"They wanted to share with you a personal experience and I applaud them, sincerely applaud them, for having the courage to have done so .",1,1
14,15,63620_199303_15,These are the real people that are behind the horrific economic data that we hear almost now on a daily basis .,1,1
15,16,63620_199303_16,"We hear about the debt rising to $200 billion, increasing by about $50 million a day or $2 million an hour .",1,1
16,17,63620_199303_17,"We hear about the fact that there are 1,017,600 Australians who can't find work and nearly as many others who can't find as much work as they want .",1,1
17,18,63620_199303_18,"We hear about the 700,000 children who live in homes where neither their mum nor their dad bas a job, and after a while the statistics start to blur .",1,1
18,19,63620_199303_19,"But these are the real people, the real Australian people, with the real problems behind those statistics .",1,1
19,20,63620_199303_20,"Against that background, this election is certainly not about trying to buy the vote of Jennifer or Sam or Beverly or of John or Michelle, or any of the others that are disadvantaged in Australia .",1,1
20,21,63620_199303_21,It is a very simple test of leadership in this election campaign .,1,1
21,22,63620_199303_22,"And it is whether we can look them in the eye, whether we can go down there and look Jennifer and Sam and Beverly and John and Michelle in the eye and tell them quite honestly that we can solve their problems .",1,1
22,23,63620_199303_23,And that is what this election campaign is about .,1,1
23,24,63620_199303_24,And that is challenge that's there to both the Prime Minister and myself in the course of the last two weeks .,1,1
24,25,63620_199303_25,"We also want to be able to go to Samantha, the girl in the poster, and look her in the eye and tell her quite honestly that she won't have to face the same type of problems within her lifetime .",0,1
25,26,63620_199303_26,"Life would, of course, be a lot easier for myself and for my colleagues if we hadn't talked about the need for reform .",1,1
26,27,63620_199303_27,"Life would be a lot easier, of course, if I was standing here today promising to spend a whole lot of money, even if it's money that we don't have, like the other side .",1,1
27,28,63620_199303_28,But it's not our way .,1,1
28,29,63620_199303_29,"It has not been our way for three years, simply because we know in our hearts that it is wrong .",1,1
29,30,63620_199303_30,"It is absolutely wrong to duck the tough issues, to fail to provide the leadership that this country needs and to spend money that you don't have .",1,1
30,31,63620_199303_31,"Because, after all, the money we spend is your money .",1,1
31,32,63620_199303_32,We took the view three years ago that this country needed a change .,1,1
32,33,63620_199303_33,It needed a dramatic change .,1,1
33,34,63620_199303_34,Therefore we had to be prepared to go out and raise the tough issues and argue the case for reform .,1,1
34,35,63620_199303_35,We want to be able to look these people and all those other victims of this recession in the eye in the run up to this election .,0,1
35,36,63620_199303_36,I was impressed by the comments that each of them made in a host of different ways .,1,1
36,37,63620_199303_37,"There was an eerie question in the back of all those comments, the same question I've heard thousands of times around Australia in the course of the last few years, and that is a feeling, very much, as to why did it happen in Australia .",1,1
37,38,63620_199303_38,Surely it does not need to be so .,1,1
38,39,63620_199303_39,"In a country as wealthy as Australia, in a country that has the natural resources, the farms, the mines, the manufacturing industry, the service industries of Australia, a country where the people are talented, and basically industrious and hard working .",1,1
39,40,63620_199303_40,"Where we have unique opportunities because of our location, close to the fastest growing region of the world .",1,1
40,41,63620_199303_41,"And the answer is, of course, it doesn't need to be that way at all .",1,1
41,42,63620_199303_42,These opportunities that are there have been squandered by governments that have been unwilling or unable to face up to the reality of our circumstances and to provide the leadership that is necessary to solve our economic problems .,1,1
42,43,63620_199303_43,There is absolutely no excuse for what has happened .,1,1
43,44,63620_199303_44,There is no excuse that anyone can refer to for this recession .,1,1
44,45,63620_199303_45,You can't say that the rest of the world is in recession because we led them in by twelve or eighteen months at the very least .,1,1
45,46,63620_199303_46,It's a home-grown product that was inflicted on the people of Australia .,1,1
46,47,63620_199303_47,"The second thing that struck me about their comments this morning, which Carolyn has already picked up, is that none of them have given up hope .",1,1
47,48,63620_199303_48,"None of them have given up on Australia, or given up on the future, and all of them were absolutely dedicated to trying again, having another go, making things better than they were .",1,1
48,49,63620_199303_49,"And I must say that one of the things that disturbs me, as I've gone around Australia, is the extent to which people are now starting to, in some cases, get a bit of a defeatist mentality about issues like unemployment .",1,1
49,50,63620_199303_50,"How often do you hear the other side, in particular, seem to imply that, well, they did the best they could, they did all they could, the rest of the world had moved into recession, what else could they have done .",1,1
50,51,63620_199303_51,I absolutely reject that .,1,1
51,52,63620_199303_52,I find it totally unacceptable and totally intolerable that in any way people in Australia could start to rationalize the existence of ten or eleven per cent unemployment .,1,1
52,53,63620_199303_53,And I personally refuse to accept that unemployment must stay high .,0,1
53,54,63620_199303_54,"And I personally refuse to accept what must be one of the most intolerable features of Australian society today, and that is that as a generation of Australians we are about to leave a lower standard of living to our children than we enjoyed ourselves, with fewer opportunities .",0,1
54,55,63620_199303_55,That is totally intolerable and we refuse to accept that as a reality in Australia today .,0,1
55,56,63620_199303_56,"Looking at the Asia Pacific region, and our proximity to it, the opportunities are endless .",0,1
56,57,63620_199303_57,All we need is to put our house in order .,0,1
57,58,63620_199303_58,"All we need is the leadership that is required when working with the people of Australia to solve our problems and to solve them fairly, so that this country does reach it's full potential .",0,1
58,59,63620_199303_59,"So that we can aim legitimately for full employment, so that we can aim legitimately to ensure that our children and our grandchildren have a better standard of living, and a greater range of opportunities than we in fact have enjoyed ourselves .",0,7
59,60,63620_199303_60,"The solutions are there, the policies are there, it's simply a matter of taking decisions and providing the leadership .",1,1
60,61,63620_199303_61,"One, of course, setting out to make sure that this country does boost it's productivity capacity .",1,1
61,62,63620_199303_62,"I hear a lot these days about how we want more money for the arts, or a better environment, or more jobs, or a better lifestyle, or a better education system, or a better health System .",1,1
62,63,63620_199303_63,"Well, there's one simple answer to all of those, and that is to make sure this country reaches it's full productive potential .",0,1
63,64,63620_199303_64,"We can have whatever we want in Australia, provided we're prepared to produce enough to pay for it .",1,1
64,65,63620_199303_65,"And then as you produce more, you have a much greater capacity to do the second thing, which is to distribute it and distribute it more fairly, right across Australian society .",1,1
65,66,63620_199303_66,And the Labor Party have never really understood that .,1,1
66,67,63620_199303_67,"For the best part of the last twenty years that they've been in government, they have focussed on distributing what has become an ever shrinking national cake .",1,1
67,68,63620_199303_68,"They don't understand that you can't do what Mr .Keating did yesterday, without somewhere setting aside the money to pay for it .",1,1
68,69,63620_199303_69,"We all want to give $75 million to the arts, I'd like to give $150 million to the arts and I'd like to put a lot more money into the environment, and a lot more money into training and education and so on, but we have to raise our productive capacity to do it .",0,7
69,70,63620_199303_70,And that is the challenge that is there for us today .,1,1
70,71,63620_199303_71,"So I say, Labor has never understood that .",1,1
71,72,63620_199303_72,"After ten years in government, after ten years of having their way, after ten years of the current Prime Minister claiming that he had the Treasury in this pocket and the Reserve Bank in that pocket, and he pulled all the levers, after ten years there's one conclusion, one conclusion only we can draw .",1,1
72,73,63620_199303_73,"He's lost the plot, he's got no plan, he's got no answers .",1,1
73,74,63620_199303_74,"All he's got left is a negative campaign, a scare campaign .",1,1
74,75,63620_199303_75,"Well, let me tell you there is nothing more frightening, there is nothing more scary, than another three years of a Labor government .",1,1
75,76,63620_199303_76,"Cause they'll not only go on spending money they don't have, and spending all the money you've given them, they will actually start to mortgage the future of your children to ensure that they stay in power .",1,1
76,77,63620_199303_77,"If you don't believe me, in the course of the last eighteen months they've run up commitments totaling something like $60 billion, that is a big number, write it out $60 billion of unfounded spending commitments .",1,1
77,78,63620_199303_78,Totally unfounded spending commitments .,1,1
78,79,63620_199303_79,"They've not only spent everything they've taken off you, but they've mortgaged the future of your children and your grandchildren .",1,1
79,80,63620_199303_80,"Think how long it's going to take them to pay back $200 billion in debt, going up at $2 million an hour .",1,1
80,81,63620_199303_81,"The other thing I noticed yesterday in the Prime Minister's speech to the arts community, which I think emphasizes most effectively the point I want to make, is something he said, and I'd like to quote it to you because I think it summarizes effectively a Labor government today .",1,1
81,82,63620_199303_82,"He said, whatever we do, we'll never get pride from a truckload of coal, we might get dollars, but we will never get pride .",1,1
82,83,63620_199303_83,"That is an absolute insult to the people that dig out that coal, an absolute insult .",1,1
83,84,63620_199303_84,Isn't that an absolutely amazing thing for a Labor leader to say?,1,1
84,85,63620_199303_85,"I challenge him to go up to the coal fields, Queensland, New South Wales or Victoria and tell them .",1,1
85,86,63620_199303_86,Those people have real pride in their work and so should he .,1,1
86,87,63620_199303_87,"They are the backbone of this country, the farmers, the miners the manufacturers, the hotel owners, the tourist operators .",1,1
87,88,63620_199303_88,"They are the people that generate the wealth, they are the people that make all the sacrifices and he stands up and makes a great man of himself by distributing their money .",1,1
88,89,63620_199303_89,They don't feel they're getting value for money let me tell you .,1,1
89,90,63620_199303_90,They're absolutely committed to it .,1,1
90,91,63620_199303_91,"As I say, as I say .",1,1
91,92,63620_199303_92,"We all want more money for the arts, or for the environment, or for a better lifestyle for a host of genuinely disabled and disadvantaged people, but as a nation we must produce to pay for it and we must be proud of those who do the work and produce it .",0,1
92,93,63620_199303_93,"We are the servants of the people not the masters, and he should never forget it .",0,1
93,94,63620_199303_94,And that is the fundamental difference between us and the Labor Party .,1,1
94,95,63620_199303_95,We believe in people and they believe in Government .,0,1
95,96,63620_199303_96,And they've pulled some of the worst hoaxes on the people of Australia in the course of their time over the last 20 years .,1,1
96,97,63620_199303_97,"Concepts like ""free education"" and ""free health"" .",1,1
97,98,63620_199303_98,"You know what they mean, they mean longer queues at universities; they mean longer queues at hospitals; they mean longer dole queues .",1,1
98,99,63620_199303_99,"That is the outcome of trying to run a society when we don't produce what we require, when we provide the services that are required .",1,1
99,100,63620_199303_100,"It is a major, fundamental difference between ourselves and the government and so we stand here today with a very clear choice, between a leader and a Party that's trying to cling desperately to power through a dishonest campaign compared with a leader and a Party that bas a plan .",0,1
100,101,63620_199303_101,We have a plan to get Australia off its knees to rebuild business and to create jobs .,0,3
101,102,63620_199303_102,"We will never, however, achieve what we are capable of achieving as a nation if we let ourselves be scared by a negative, defeatist, spoiling campaign .",0,1
102,103,63620_199303_103,Remember the game in the end is not going to be won by the spoiler .,1,1
103,104,63620_199303_104,"It is won by the player who goes forward with the bail with a clear cut goal, takes the hard choices, provides the leadership and gets on and does the job .",1,1
104,105,63620_199303_105,And that is what Fight back and our plan for Australia is all about .,1,1
105,106,63620_199303_106,"This is, of course, an important opportunity for me to run through some of the key elements for our plan for Australia .",1,1
106,107,63620_199303_107,"Not only how to reach our productive potential and to create jobs, but also to demonstrate that we can distribute that production more equitably and fairly than has, in fact, been the case under a Labor Government .",0,1
107,108,63620_199303_108,And I must say that every time I hear this word social justice uttered from the other side I start to choke .,1,1
108,109,63620_199303_109,Because I can't find anything fair or just in a million unemployed .,1,1
