,Oid,Id,Sentence,Flag,labels
0,1,63320_198412_1,"My fellow Australians,  When from this place in February 1983 I first asked for your support, I sought from you an act of great trust.",1.0,1
1,2,63320_198412_2,"Our nation was then in deep crisis - the worst economic crisis for more than fifty years; and a searing crisis of the national spirit, after a decade of confrontation and division.",1.0,1
2,3,63320_198412_3,Unprecedented circumstances demanded unprecedented responses.,1.0,1
3,4,63320_198412_4,"Therefore, on behalf of the Australian Labor Party, I asked for your support, your co-operation --- and your active participation - in a course of action and a new national approach which had never been tried in Australia in peacetime - the course of national reconciliation, national recovery and rational reconstruction.",1.0,1
4,5,63320_198412_5,"The last twenty months have seen the supreme vindication of that trust - not only the trust you placed in us, and the new, untried approach we offered; but much more important, the -trust you expressed in yourselves, as a people, as a nation - that given leadership, we Australians could be brought together, we could work together; we could, together, beat back the crisis, restore hope, restore growth, confidence and a sense of united purpose to this nation.",1.0,1
5,6,63320_198412_6,"And together, we have done it.",1.0,1
6,7,63320_198412_7,"But now, my fellow Australians, on 1 December 1984, you are called upon to make a very different decision, in very different circumstances, for very different purposes:  ",,5
7,8,63320_198412_8,"- not, this time, as it was then, a decision to fight against a deepening economic and social crisis; but now, to consolidate, sustain, and build upon the great gains we have already achieved together.",,6
8,9,63320_198412_9,"-not, this time, to end the confrontation and divisiveness of a decade, but to build a new decade of national unity, national purpose and national progress.",,6
9,10,63320_198412_10,"- not, this time, to restore positive economic growth from negative; but to ensure that the benefits of our economy - now the world's fastest-growing economy - are fully and fairly shared by all sections of the community.",,6
10,11,63320_198412_11,"-and to build, in our time, a nation foremost among the nations of the world, in freedom and fairness for all.",,3
11,12,63320_198412_12,Never in living memory have the people of Australia had a clearer choice to make.,1.0,1
12,13,63320_198412_13,And never have they had a more important choice to make.,1.0,1
13,14,63320_198412_14,The Opposition has destroyed any vestige of credibility by the most negative election campaign any of us can remember.,1.0,1
14,15,63320_198412_15,"But long before that, their credibility was destroyed by their known record in Government and their known record in Opposition - more especially their recent performance.",1.0,1
15,16,63320_198412_16,"And let me make this clear:  We of the Australian Labor Party do not ask you, the people of Australia, to take us on trust.",1.0,1
16,17,63320_198412_17,"The only trust I seek is the continuance of the trust we have striven to earn in the past twenty months - the trust - the mutual trust that we have tried to build with and between all sections of the community, your trust that we will continue to put Australia first.",,3
17,18,63320_198412_18,"And let me make it clear, from the opening of this campaign - as I made it clear from the opening of the last campaign - we are not in the business of making grandiose spending proposals of the kind our opponents have been throwing around.",,2
18,19,63320_198412_19,"We are not offering a grab-bag of unrelated, unachievable election promises.",,6
19,20,63320_198412_20,We are not offering a fistful of dollars.,,1
20,21,63320_198412_21,It is imperative that the sound economic management we have given Australia continues.,,3
21,22,63320_198412_22,We pledge that it shall continue.,,4
22,23,63320_198412_23,"We are not going to endanger all that has been achieved, and the enduring advances, the real and lasting benefits for all Australians we can achieve in the years ahead, by a vote-buying spree.",,3
23,24,63320_198412_24,There is a new spirit of confidence in Australia.,1.0,1
24,25,63320_198412_25,And never has that confidence been more soundly based.,1.0,1
25,26,63320_198412_26,Australia stands at a splendid --- but critical - point in its history.,1.0,1
26,27,63320_198412_27,"Splendid, because of all we have achieved together since March 1983.",1.0,1
27,28,63320_198412_28,"But critical, because the alternative offered - indeed, explicitly threatened - by this Opposition, is a return to the path which produced the disasters of two years ago - the highest number of Australians thrown out of work since the Great Depression; the longest period of high inflation; the highest interest rates; growth in reverse; home ownership placed beyond the reach of an ever-increasing percentage of Australian families; and above all, a return to policies and attitudes which produced unparalleled division in the nation.",1.0,1
28,29,63320_198412_29,"I put to you a simple question: will you risk everything we have achieved together, to return to all that?",1.0,1
29,30,63320_198412_30,"This Opposition asks you to reject the very meaning of all that we have been able to achieve together - not our Government alone, but all the sections of the Australian community who have contributed so much to the recovery by their restraint, by their responsibility, by their initiative, by their co-operation.",1.0,1
30,31,63320_198412_31,It is an Opposition of despair - an Opposition which begrudges Australia's new success and prosperity- an Opposition opposed to the whole spirit of co-operation we Australians have built together.,1.0,1
31,32,63320_198412_32,"We pledged ourselves to fight unemployment and inflation simultaneously - something which our critics said could not be done and something which our opponents refused to do, failed to do, throughout their seven years of waste and loss.",,6
32,33,63320_198412_33,In the last year more new jobs have been created in Australia than in any other year in our history.,1.0,1
33,34,63320_198412_34,"Against their record of two hundred thousand jobs lost, and a quarter of a million increase in unemployment in a single year, we have created 270000 jobs in the eighteen months since the National Economic Summit began its work of regeneration.",1.0,1
34,35,63320_198412_35,We are going to maintain that effort.,,4
35,36,63320_198412_36,"We will fulfil the pledge we made at the last election, to create half a million new jobs within three years.",,6
36,37,63320_198412_37,"And we will continue to create jobs more rapidly than the labour force grows, so that unemployment will continue to fall.",,5
37,38,63320_198412_38,We have more than halved inflation.,1.0,1
38,39,63320_198412_39,"Building on our achievement of the lowest inflation for thirteen years, inflation over the next year will be less than five percent.",,5
39,40,63320_198412_40,We aim to keep it below five percent.,,5
40,41,63320_198412_41,We pledged ourselves to restore growth to the Australian economy.,1.0,1
41,42,63320_198412_42,"In the last year, Australia has experienced the strongest growth on record - the strongest growth of any of the member countries of the Organisation for Economic Co-operation and Development.",1.0,1
42,43,63320_198412_43,"In the world's economic stakes, we are winners again.",1.0,1
43,44,63320_198412_44,We are going to keep Australia where it is now internationally recognised to be - among the frontrunners of the world' s industrialised economies.,,3
44,45,63320_198412_45,We pledged ourselves to end the needless confrontation and disruption in industry.,1.0,1
45,46,63320_198412_46,Industrial disputation is at the lowest level for sixteen years.,,5
46,47,63320_198412_47,We are going to keep it that way.,,3
47,48,63320_198412_48,We pledged ourselves to bring home ownership once again within the reach of ordinary Australian families - to end that sense of despair and frustration that was beginning to engulf thousands upon thousands of young people seeking their own homes.,1.0,1
48,49,63320_198412_49,We have increased public housing support by fifty percent.,1.0,1
49,50,63320_198412_50,"We introduced the First Home Owners Scheme, to bring home ownership within the reach of thousands of young Australians of limited means.",1.0,1
50,51,63320_198412_51,The number of new houses being built in Australia has increased by one third.,1.0,1
51,52,63320_198412_52,And we are going to keep it that way.,,4
52,53,63320_198412_53,"In the next twelve months, 145000 new houses will be built in Australia, an increase of forty percent over the level of two years ago.",,7
53,54,63320_198412_54,"And beyond the next year we will maintain at least this level of housing activity, and ensure that our housing industry never again slumps into the contraction and despair of the year before we were called to office.",,5
54,55,63320_198412_55,The overall picture for Australia --- in stark contrast to the grim realities of twenty months ago - is this:  - never in the last decade - and more- there been anything like the combination of favourable economic prospects that now exist: consumer confidence at record levels; business-confidence and business investment restored and growing by the month; the housing industry buoyant; manufacturing production rising; industrial disputes dramatically down; interest rates declining; employment up; -inflation-down.,1.0,1
55,56,63320_198412_56,"With a record like that, is it any wonder that Paul Keating has been nominated as the world's best Treasurer?",1.0,1
56,57,63320_198412_57,"This is the base - the strongest for decades - on which we can build, together, an even better and fairer Australia.",,1
57,58,63320_198412_58,The Accord.,1.0,1
58,59,63320_198412_59,The cornerstone of the foundations we have laid is the Prices and Incomes Accord.,,1
59,60,63320_198412_60,"After seeing every fitful attempt at recovery in the last decade dissipate in a new round of price and wage increases, the Australian economy is now growing while inflation is failing.",1.0,1
60,61,63320_198412_61,The continued success of the Accord is the absolute condition for achieving a sustained recovery without inflation.,,5
61,62,63320_198412_62,The Accord provides the framework for business to make major new investments with a new confidence.,,6
62,63,63320_198412_63,"We pledge ourselves to maintain the Accord, and all the benefits that flow from it.",,4
63,64,63320_198412_64,Our opponents are committed to its destruction.,1.0,1
64,65,63320_198412_65,They propose to dismantle everything which makes the Accord work.,1.0,1
65,66,63320_198412_66,"They propose to end central wage fixing based on wage indexation, and to close down the institutions which give form and substance to the Accord, the Economic Planning Advisory Council, the Advisory Committee on Prices and Incomes, and the Prices Surveillance Authority.",1.0,1
66,67,63320_198412_67,"But beyond that, they stand against the whole spirit of the Accord - the spirit of co-operation, and the process of consultation between Government, business and unions, which has enabled Australia, at last, to break out of the cycle of inflation and recession.",1.0,1
67,68,63320_198412_68,"But the sabotage of the Accord and its achievements threatened by their proposals reaches even deeper, with policies which could have only one result - the unleashing of another burst of inflation and a new wage explosion.",1.0,1
68,69,63320_198412_69,Theirs is a recipe for economic disaster.,1.0,1
69,70,63320_198412_70,"The central achievement of the past twenty months - restored growth with reduced inflation - would be wrecked, with all that would mean for employment, for interest rates, and for the standard of living for the weaker sections of the community, especially our young and our pensioners, for everything that millions of ordinary Australian can now hope for themselves and their families.",,5
70,71,63320_198412_71,"My fellow Australians,  In February 1983 I pledged my Party, my Government, myself, to a program of national reconciliation, national recovery, national reconstruction.",,3
71,72,63320_198412_72,Each part of that program interlocks.,,1
72,73,63320_198412_73,"And it is through the path of reconciliation leading to recovery - by which so much has already been achieved - that we can now, in our next term, continue the task of building upon the strong foundations we have laid towards national reconstruction.",,3
73,74,63320_198412_74,"I repeat: we refuse to put at risk all that has been won, by irresponsible electioneering in this campaign.",,1
74,75,63320_198412_75,"We offer a continuing, coherent program --- ",,4
75,76,63320_198412_76,"a firm ordering of priorities to build a prosperous, fair and caring society; ",,2
76,77,63320_198412_77,"a strong and dynamic nation harnessing to the full the talents of our people to meet even more effectively the challenges and opportunities of an increasingly complex world and an increasingly competitive Western Pacific region, in which our destiny has placed us forever; ",,3
77,78,63320_198412_78,"and a nation in which, as we strive to meet those challenges and to reach those goals, all Australians, whatever their background, can truly feel that they are involved, that each has part to play, in the real life and growth of a great nation.",,5
78,79,63320_198412_79,National priorities.,1.0,1
79,80,63320_198412_80,"The Australian Labor Party is the Party of Growth, Equity, and Peace.",,1
80,81,63320_198412_81,"I offer the Australian people the unswerving commitment of our Government to the promotion in Australia - and in the world to the extent that it is within our power to do so - of Growth, Equity and Peace.",,7
81,82,63320_198412_82,"Towards these great goals, we now set these priorities for our next term:  ",,3
82,83,63320_198412_83,"- The maintenance of strong economic and employment growth with low inflation; and to this end, new initiatives to remove impediments to Australia applying our resources to the most productive uses, and to strengthen industry.",,3
83,84,63320_198412_84,-a genuine reform of the Australian tax system to promote growth and to ensure that the benefits of that growth are fairly shared and bring lasting relief on personal income taxes to the millions of ordinary Australian taxpayers.,,3
84,85,63320_198412_85,What we mean by tax reform is that the hard work of the ordinary Australian is not unfairly penalised.,,5
85,86,63320_198412_86,"-a concerted effort to attack the causes of poverty and inequality in our midst, to eliminate unemployment and to create a fairer society.",,3
86,87,63320_198412_87,"-a drive to raise the levels of education, health and the other community services for all Australians.",,3
87,88,63320_198412_88,"-and to continue, with renewed vigour based on your renewed mandate, our unremitting efforts in the cause of peace and nuclear disarmament.",,3
