,OID,Id,Sentence,Flag,labels
0,1,63620_200410_1,Eight and a half years ago it became my immense privilege and honour to become the Prime Minister of this wonderful country of ours.,1.0,1
1,2,63620_200410_2,"And over the eight and a half years, I have shared the hopes and aspirations and the dreams and the achievements of my fellow Australians.",1.0,1
2,3,63620_200410_3,I have tried to feel the pain and the grief of those of my fellow Australians left saddened through the loss of loved ones in tragedies such as the murder of 35 people at Port Arthur and the terrible deaths of 88 fellow Australians during the Bali attack and other disasters.,1.0,1
3,4,63620_200410_4,"I have tried to understand and feel for the plight of struggling farmers, year after year gripped by drought, an undeserved lot, and the pain of seeing their crops wither and their hopes denied.",1.0,1
4,5,63620_200410_5,"I've shared the exaltation that so many of us feel with the success not only of our sportsmen and women but also our scientists and our actors and our businessmen and women, who do Australia proud around the world.",1.0,1
5,6,63620_200410_6,"Every day has been a new experience for me, everyday has been a reminder to me of the great character and decency and special nature which is the Australian way.",1.0,1
6,7,63620_200410_7,Every day has reminded me of that unique blend of toughness and compassion which is in reality the real Australia.,1.0,1
7,8,63620_200410_8,"Yes, we can be tough and direct and laconic and resilient.",1.0,1
8,9,63620_200410_9,But when need arises we can be warm and embracing and outpouring and compassionate and care for those that need assistance.,1.0,1
9,10,63620_200410_10,"It has been a great experience, it has been a humbling experience.",1.0,1
10,11,63620_200410_11,It has been a journey to reinforce my values as an Australian.,1.0,1
11,12,63620_200410_12,"It has been a journey in which I've been accompanied by some wonderful colleagues and may I particularly mention the contribution along that journey of the Deputy Prime Minister, my friend, the leader of the National Party John Anderson.",1.0,1
12,13,63620_200410_13,And may I also mention the wonderful contribution that the Deputy Leader of the Liberal Party and Treasurer for the last eight and a half years Peter Costello has made to that journey.,1.0,1
13,14,63620_200410_14,Without them and all of my other colleagues we would not have achieved what has been achieved over that last eight and a half years.,1.0,1
14,15,63620_200410_15,I've had the values of Australians reinforced over that time.,1.0,1
15,16,63620_200410_16,I've also learnt that they want certain things from their Government but there are some things they don't want from their Government.,1.0,1
16,17,63620_200410_17,They want their Government to create a climate of stability and security and reassurance but they don't want their Governments to tell them how to live their lives.,1.0,1
17,18,63620_200410_18,They don't want a behavioural policeman as a Prime Minister.,1.0,1
18,19,63620_200410_19,They want a Prime Minister who understands them and will let them get on with their lives and will give them freedom and choice and opportunity.,1.0,1
19,20,63620_200410_20,"Like all elections, the election on the 9th of October is about a choice.",1.0,1
20,21,63620_200410_21,It's about who can better secure Australia's future as a nation.,1.0,1
21,22,63620_200410_22,It's about who can better secure the future of Australian families.,1.0,1
22,23,63620_200410_23,When I called the election I asked a series of questions and they are as relevant today as they were then.,1.0,1
23,24,63620_200410_24,I said who do you better trust to keep living standards high and the economy strong?,1.0,1
24,25,63620_200410_25,Who do you better trust to keep your interest rates low?,1.0,1
25,26,63620_200410_26,Who do you better trust to lead Australia in the fight against the peril of international terrorism?,1.0,1
26,27,63620_200410_27,Who do you better trust to keep the budget strong and in surplus so that we can better afford to spend more on health and education and defence.,1.0,1
27,28,63620_200410_28,"They are the issues, they are the questions that the Australian people will ask and the answers are emphatic.",1.0,1
28,29,63620_200410_29,The journey of the last eight and a half years has involved many difficult decisions.,1.0,1
29,30,63620_200410_30,We inherited a $96 billion government debt.,1.0,1
30,31,63620_200410_31,We have repaid $73 billion of that.,1.0,1
31,32,63620_200410_32,I hear Mr Crean and Mr Latham saying that Labor Governments will stay in surplus.,1.0,1
32,33,63620_200410_33,"As Peter Costello frequently says, never listen to what Labor says, remember what Labor did.",1.0,1
33,34,63620_200410_34,The last five Labor budgets alone produced cumulative deficits of $70 billion.,1.0,1
34,35,63620_200410_35,"So the last time they had a go at getting a budget in surplus, they had five goes at it and they were in deficit each time and the total deficit was $70 billion.",1.0,1
35,36,63620_200410_36,And they talk about taking pressure off interest rates in government.,1.0,1
36,37,63620_200410_37,Just remember what they did when they last had a go.,1.0,1
37,38,63620_200410_38,Over the last eight and a half years we have embraced many reforms.,1.0,1
38,39,63620_200410_39,We have reformed our industrial relations system.,1.0,1
39,40,63620_200410_40,In 1998 after years of hesitation we finally had a Government with the courage to take on the Maritime Union of Australia.,1.0,1
40,41,63620_200410_41,"We broke the back of union power on the waterfront and the result has been higher productivity, and the produce of Australia's hard-working farmers no longer rots on the wharves of Australia.",1.0,1
41,42,63620_200410_42,We have reformed the taxation system.,1.0,1
42,43,63620_200410_43,We have reformed the welfare system.,1.0,1
43,44,63620_200410_44,"When we brought in Work for the Dole, the Labor Party attacked it as a mickey mouse solution.",1.0,1
44,45,63620_200410_45,They now quietly claim that they are going to keep it.,1.0,1
45,46,63620_200410_46,"These reforms, most of which were tenaciously opposed by the Labor Party from the very beginning.",1.0,1
46,47,63620_200410_47,"Not only did they leave us with a huge deficit, they tried to stop us fixing it up.",1.0,1
47,48,63620_200410_48,"But now, of course, they're very happy to help themselves to surpluses that they could never generate in Government.",1.0,1
48,49,63620_200410_49,Our reforms and our efforts have yielded great results.,1.0,1
49,50,63620_200410_50,Our interest rates are the lowest in 30 years.,1.0,1
50,51,63620_200410_51,Our taxes are lower.,1.0,1
51,52,63620_200410_52,Unemployment is lower.,1.0,1
52,53,63620_200410_53,Our wages are higher.,1.0,1
53,54,63620_200410_54,I have no prouder claim as Prime Minister than to say that over the last eight and a half years real wages in this country have risen by between 13 to 14 per cent against a miserable 2.6 per cent in the 13 years of Labor Government.,1.0,1
54,55,63620_200410_55,The Coalition has been a better friend of the workers of Australia than Labor could ever dream of being.,1.0,1
55,56,63620_200410_56,"In 1996 there were 35 federal electorates in Australia that had double digit unemployment or worse, now there are only four.",1.0,1
56,57,63620_200410_57,These are the great human dividends of good economic policy.,1.0,1
57,58,63620_200410_58,"Running the economy well only has a purpose if it delivers a human dividend, if it delivers things for the Australian people.",1.0,1
