,oid,Id,sentence,Flag,Context,labels
0,0,63620_198412_0,This election is about the future for Australian families and the sort of Australia in which they want to live when we reach our bicentenary in 1988.,1,,1
1,1,63620_198412_1,"It is about whether we want families to be able to make their own choices about their own future - about their health care, their school, the way they spend their incomes - or whether we want the Government to make that choice for them.",1,This election is about the future for Australian families and the sort of Australia in which they want to live when we reach our bicentenary in 1988.,1
2,2,63620_198412_2,It is about whether our elderly will have the security they deserve and our young people the jobs - and self-respect - they need.,1,"This election is about the future for Australian families and the sort of Australia in which they want to live when we reach our bicentenary in 1988. It is about whether we want families to be able to make their own choices about their own future - about their health care, their school, the way they spend their incomes - or whether we want the Government to make that choice for them.",1
3,3,63620_198412_3,It is about whether we are to enlarge the role of the Government and diminish the role of the individual and cripple the enterprise and effort on which a prosperous country depends.,1,"It is about whether we want families to be able to make their own choices about their own future - about their health care, their school, the way they spend their incomes - or whether we want the Government to make that choice for them. It is about whether our elderly will have the security they deserve and our young people the jobs - and self-respect - they need.",1
4,4,63620_198412_4,"It is about whether we want to reward thrift and initiative or punish those who work, save and invest.",1,It is about whether our elderly will have the security they deserve and our young people the jobs - and self-respect - they need. It is about whether we are to enlarge the role of the Government and diminish the role of the individual and cripple the enterprise and effort on which a prosperous country depends.,1
5,5,63620_198412_5,"It is about whether we want a free competitive enterprise system in which profits create investment and investment creates jobs and wealth or whether we want a system of bureaucratic direction and interference, in which the Government knows best.",1,"It is about whether we are to enlarge the role of the Government and diminish the role of the individual and cripple the enterprise and effort on which a prosperous country depends. It is about whether we want to reward thrift and initiative or punish those who work, save and invest.",1
6,6,63620_198412_6,It is about whether we want to improve the capacity of Australian industry to compete on the world stage.,1,"It is about whether we want to reward thrift and initiative or punish those who work, save and invest. It is about whether we want a free competitive enterprise system in which profits create investment and investment creates jobs and wealth or whether we want a system of bureaucratic direction and interference, in which the Government knows best.",1
7,7,63620_198412_7,"It is about whether we want to continue to respect our heritage as a nation - our flag, our Queen, our Constitution, our values and our standards of government - or whether we want to create tensions and division within our community with radical change.",1,"It is about whether we want a free competitive enterprise system in which profits create investment and investment creates jobs and wealth or whether we want a system of bureaucratic direction and interference, in which the Government knows best. It is about whether we want to improve the capacity of Australian industry to compete on the world stage.",1
8,8,63620_198412_8,Australia can have one of the best futures in the world.,1,"It is about whether we want to improve the capacity of Australian industry to compete on the world stage. It is about whether we want to continue to respect our heritage as a nation - our flag, our Queen, our Constitution, our values and our standards of government - or whether we want to create tensions and division within our community with radical change.",1
9,9,63620_198412_9,"In our resources, our traditions and the quality of our people we have great potential.",1,"It is about whether we want to continue to respect our heritage as a nation - our flag, our Queen, our Constitution, our values and our standards of government - or whether we want to create tensions and division within our community with radical change. Australia can have one of the best futures in the world.",1
10,10,63620_198412_10,The Liberal Party has a clear direction for Australia.,0,"Australia can have one of the best futures in the world. In our resources, our traditions and the quality of our people we have great potential.",1
11,11,63620_198412_11,It is a direction based on our faith in ordinary Australian families and their capacity to make the most of their opportunities.,0,"In our resources, our traditions and the quality of our people we have great potential. The Liberal Party has a clear direction for Australia.",1
12,12,63620_198412_12,It is a direction which is based on an optimistic spirit and a confidence in what people can do for themselves - for that is the essence of the Liberal approach.,0,The Liberal Party has a clear direction for Australia. It is a direction based on our faith in ordinary Australian families and their capacity to make the most of their opportunities.,1
13,13,63620_198412_13,We have set six goals for Australia: - to achieve prosperity for all.,0,It is a direction based on our faith in ordinary Australian families and their capacity to make the most of their opportunities. It is a direction which is based on an optimistic spirit and a confidence in what people can do for themselves - for that is the essence of the Liberal approach.,1
14,14,63620_198412_14,- to give effective support to families.,0,It is a direction which is based on an optimistic spirit and a confidence in what people can do for themselves - for that is the essence of the Liberal approach. We have set six goals for Australia: - to achieve prosperity for all.,1
