,oid,Id,sentence,Flag,Context,labels
0,0,63620_201309_0,"Delivering a strong, prosperous economy and a safe, secure Australia.",,,2
1,1,63620_201309_1,"In the two years since the last election, my colleagues and I have travelled to all parts of Australia listening and talking with people about their lives, their families and their hopes for our country.",1.0,"Delivering a strong, prosperous economy and a safe, secure Australia.",1
2,2,63620_201309_2,We have also consulted with experts about opportunities to harness Australia's great potential.,1.0,"Delivering a strong, prosperous economy and a safe, secure Australia. In the two years since the last election, my colleagues and I have travelled to all parts of Australia listening and talking with people about their lives, their families and their hopes for our country.",1
3,3,63620_201309_3,"From these conversations at homes, work places, factories, farms, school halls, businesses and universities, we have developed our plan to offer Hope, Reward and Opportunity for all Australians.",1.0,"In the two years since the last election, my colleagues and I have travelled to all parts of Australia listening and talking with people about their lives, their families and their hopes for our country. We have also consulted with experts about opportunities to harness Australia's great potential.",1
4,4,63620_201309_4,"Our plan is to build a stronger Australia by building a stronger economy, stronger communities, a cleaner environment, stronger borders and more modern infrastructure.",,"We have also consulted with experts about opportunities to harness Australia's great potential. From these conversations at homes, work places, factories, farms, school halls, businesses and universities, we have developed our plan to offer Hope, Reward and Opportunity for all Australians.",1
5,5,63620_201309_5,"The Coalition's priority will be to build a stronger, more productive and diverse economy through lower taxes, more efficient government and more productive businesses that will deliver more jobs, higher wages and better services for all Australians.",,"From these conversations at homes, work places, factories, farms, school halls, businesses and universities, we have developed our plan to offer Hope, Reward and Opportunity for all Australians. Our plan is to build a stronger Australia by building a stronger economy, stronger communities, a cleaner environment, stronger borders and more modern infrastructure.",1
6,6,63620_201309_6,"With a modernized economy and the right policies, Australians can once again have competitive manufacturing industries, a dynamic services sector and a growing knowledge economy as well as strong agriculture and mining.",,"Our plan is to build a stronger Australia by building a stronger economy, stronger communities, a cleaner environment, stronger borders and more modern infrastructure. The Coalition's priority will be to build a stronger, more productive and diverse economy through lower taxes, more efficient government and more productive businesses that will deliver more jobs, higher wages and better services for all Australians.",1
7,7,63620_201309_7,We can also once again have a strong vibrant small business sector creating stronger jobs growth.,,"The Coalition's priority will be to build a stronger, more productive and diverse economy through lower taxes, more efficient government and more productive businesses that will deliver more jobs, higher wages and better services for all Australians. With a modernized economy and the right policies, Australians can once again have competitive manufacturing industries, a dynamic services sector and a growing knowledge economy as well as strong agriculture and mining.",1
8,8,63620_201309_8,Within five years I am confident that our economy can deliver at least one million new jobs; and two million new jobs within the next decade.,,"With a modernized economy and the right policies, Australians can once again have competitive manufacturing industries, a dynamic services sector and a growing knowledge economy as well as strong agriculture and mining. We can also once again have a strong vibrant small business sector creating stronger jobs growth.",1
9,9,63620_201309_9,"Our vision for Australia is grounded in the belief that I expressed in my very first speech to the Parliament 19 years ago, that ``there is no limit to what Australia can achieve"".",1.0,We can also once again have a strong vibrant small business sector creating stronger jobs growth. Within five years I am confident that our economy can deliver at least one million new jobs; and two million new jobs within the next decade.,1
10,10,63620_201309_10,"In the seven parliaments I have served since that first speech, as a backbencher, parliamentary secretary, minister, cabinet minister, Leader of the House and now as a party leader, I have not wavered in my belief that our best days as a nation are still ahead of us.",1.0,"Within five years I am confident that our economy can deliver at least one million new jobs; and two million new jobs within the next decade. Our vision for Australia is grounded in the belief that I expressed in my very first speech to the Parliament 19 years ago, that ``there is no limit to what Australia can achieve"".",1
11,11,63620_201309_11,"Here, in these pages, is the stronger Australiaña truly 21st Century Australiañthat the next Coalition Government will build.",,"Our vision for Australia is grounded in the belief that I expressed in my very first speech to the Parliament 19 years ago, that ``there is no limit to what Australia can achieve"". In the seven parliaments I have served since that first speech, as a backbencher, parliamentary secretary, minister, cabinet minister, Leader of the House and now as a party leader, I have not wavered in my belief that our best days as a nation are still ahead of us.",1
12,12,63620_201309_12,"This is the Australia that we believe in ``There is no limit to what Australia can achieve"".",1.0,"In the seven parliaments I have served since that first speech, as a backbencher, parliamentary secretary, minister, cabinet minister, Leader of the House and now as a party leader, I have not wavered in my belief that our best days as a nation are still ahead of us. Here, in these pages, is the stronger Australiaña truly 21st Century Australiañthat the next Coalition Government will build.",1
13,13,63620_201309_13,The Coalition's top policy priorities:,,"Here, in these pages, is the stronger Australiaña truly 21st Century Australiañthat the next Coalition Government will build. This is the Australia that we believe in ``There is no limit to what Australia can achieve"".",1
14,14,63620_201309_14,"1. We will build a stronger, more productive and diverse economy with lower taxes, more efficient government and more productive businesses that will deliver more jobs, higher real incomes and better services for you and your family.",,"This is the Australia that we believe in ``There is no limit to what Australia can achieve"". The Coalition's top policy priorities:",1
15,15,63620_201309_15,"2.  We will get the Budget back under control, cut waste and start reducing debt ñ to keep interest rates as low as possible; and to protect the Australian economy from future economic shocks.",,"The Coalition's top policy priorities: 1. We will build a stronger, more productive and diverse economy with lower taxes, more efficient government and more productive businesses that will deliver more jobs, higher real incomes and better services for you and your family.",1
16,16,63620_201309_16,"3. We will help families get ahead by freeing them from the burdens of the carbon tax ñ to protect Australian jobs and reduce cost-of-living pressures, especially rising electricity and gas prices.",,"1. We will build a stronger, more productive and diverse economy with lower taxes, more efficient government and more productive businesses that will deliver more jobs, higher real incomes and better services for you and your family. 2.  We will get the Budget back under control, cut waste and start reducing debt ñ to keep interest rates as low as possible; and to protect the Australian economy from future economic shocks.",1
17,17,63620_201309_17,4. We will help small businesses grow and create more jobs ñ by reducing business costs and cutting taxes as well as cutting red and green tape costs by $1 billion every year.,,"2.  We will get the Budget back under control, cut waste and start reducing debt ñ to keep interest rates as low as possible; and to protect the Australian economy from future economic shocks. 3. We will help families get ahead by freeing them from the burdens of the carbon tax ñ to protect Australian jobs and reduce cost-of-living pressures, especially rising electricity and gas prices.",1
18,18,63620_201309_18,"5. We will create stronger jobs growth by building a diverse, world-class 5-Pillar economy ñ by building on our strengths in Manufacturing Innovation, Advanced Services, Agriculture Exports, world-class Education and Research, as well as boosting Mining Exports.",,"3. We will help families get ahead by freeing them from the burdens of the carbon tax ñ to protect Australian jobs and reduce cost-of-living pressures, especially rising electricity and gas prices. 4. We will help small businesses grow and create more jobs ñ by reducing business costs and cutting taxes as well as cutting red and green tape costs by $1 billion every year.",1
19,19,63620_201309_19,"6. We will generate one million new jobs over the next five years and two million new jobs within a decade by growing a bigger, more productive and prosperous economy.",,"4. We will help small businesses grow and create more jobs ñ by reducing business costs and cutting taxes as well as cutting red and green tape costs by $1 billion every year. 5. We will create stronger jobs growth by building a diverse, world-class 5-Pillar economy ñ by building on our strengths in Manufacturing Innovation, Advanced Services, Agriculture Exports, world-class Education and Research, as well as boosting Mining Exports.",1
20,20,63620_201309_20,7. We will build more modern infrastructure to get things moving ñ with an emphasis on reducing the bottlenecks on our gridlocked roads and highways.,,"5. We will create stronger jobs growth by building a diverse, world-class 5-Pillar economy ñ by building on our strengths in Manufacturing Innovation, Advanced Services, Agriculture Exports, world-class Education and Research, as well as boosting Mining Exports. 6. We will generate one million new jobs over the next five years and two million new jobs within a decade by growing a bigger, more productive and prosperous economy.",1
21,21,63620_201309_21,8. We will deliver better services including health services ñ by putting local communities in charge of hospitals and improving co-operation with the States and Territories.,,"6. We will generate one million new jobs over the next five years and two million new jobs within a decade by growing a bigger, more productive and prosperous economy. 7. We will build more modern infrastructure to get things moving ñ with an emphasis on reducing the bottlenecks on our gridlocked roads and highways.",6
22,22,63620_201309_22,9. We will deliver better education ñ by putting local communities in charge of improving the performance of local schools.,,7. We will build more modern infrastructure to get things moving ñ with an emphasis on reducing the bottlenecks on our gridlocked roads and highways. 8. We will deliver better services including health services ñ by putting local communities in charge of hospitals and improving co-operation with the States and Territories.,6
23,23,63620_201309_23,"10. We will take direct action to reduce carbon emissions inside Australia, not overseas ñ and also establish a 15,000-strong Green Army to clean-up the environment.",,8. We will deliver better services including health services ñ by putting local communities in charge of hospitals and improving co-operation with the States and Territories. 9. We will deliver better education ñ by putting local communities in charge of improving the performance of local schools.,6
24,24,63620_201309_24,11. We will deliver stronger borders ñ where the boats are stopped ñ with tough and proven measures.,,"9. We will deliver better education ñ by putting local communities in charge of improving the performance of local schools. 10. We will take direct action to reduce carbon emissions inside Australia, not overseas ñ and also establish a 15,000-strong Green Army to clean-up the environment.",6
25,25,63620_201309_25,12. We will deliver strong and stable government that restores accountability ñ to deliver a better future for all Australians.,,"10. We will take direct action to reduce carbon emissions inside Australia, not overseas ñ and also establish a 15,000-strong Green Army to clean-up the environment. 11. We will deliver stronger borders ñ where the boats are stopped ñ with tough and proven measures.",6
26,26,63620_201309_26,"We will deliver a strong, prosperous economy and a safe, secure Australia.",,11. We will deliver stronger borders ñ where the boats are stopped ñ with tough and proven measures. 12. We will deliver strong and stable government that restores accountability ñ to deliver a better future for all Australians.,2
27,27,63620_201309_27,"Our plan will build a stronger, more productive and prosperous Australia ñ a truly 21st Century Australia ñ so that all Australians can get ahead in the global economy, live in a better country and get a better future.",,"12. We will deliver strong and stable government that restores accountability ñ to deliver a better future for all Australians. We will deliver a strong, prosperous economy and a safe, secure Australia.",1
28,28,63620_201309_28,The Coalition's Plan: building a stronger 21st Century Australia:,,"We will deliver a strong, prosperous economy and a safe, secure Australia. Our plan will build a stronger, more productive and prosperous Australia ñ a truly 21st Century Australia ñ so that all Australians can get ahead in the global economy, live in a better country and get a better future.",2
29,29,63620_201309_29,"Our positive, inclusive vision for Australia:",,"Our plan will build a stronger, more productive and prosperous Australia ñ a truly 21st Century Australia ñ so that all Australians can get ahead in the global economy, live in a better country and get a better future. The Coalition's Plan: building a stronger 21st Century Australia:",1
30,30,63620_201309_30,"We believe in Australia and we believe ``there is no limit to what Australia can achieve"".",1.0,"The Coalition's Plan: building a stronger 21st Century Australia: Our positive, inclusive vision for Australia:",1
31,31,63620_201309_31,"That's why our plan is to build a stronger, more productive and prosperous Australia ñ a truly 21st Century Australia ñ so that all Australians can get ahead in the global economy, live in a better country and have a better future.",,"Our positive, inclusive vision for Australia: We believe in Australia and we believe ``there is no limit to what Australia can achieve"".",1
32,32,63620_201309_32,"With your support we will deliver a strong, prosperous economy and a safe, secure Australia.",,"We believe in Australia and we believe ``there is no limit to what Australia can achieve"". That's why our plan is to build a stronger, more productive and prosperous Australia ñ a truly 21st Century Australia ñ so that all Australians can get ahead in the global economy, live in a better country and have a better future.",1
33,33,63620_201309_33,"We will offer every Australian Hope, Reward and Opportunity.",,"That's why our plan is to build a stronger, more productive and prosperous Australia ñ a truly 21st Century Australia ñ so that all Australians can get ahead in the global economy, live in a better country and have a better future. With your support we will deliver a strong, prosperous economy and a safe, secure Australia.",1
34,34,63620_201309_34,We've been listening.,1.0,"With your support we will deliver a strong, prosperous economy and a safe, secure Australia. We will offer every Australian Hope, Reward and Opportunity.",1
